"Metabolite"	"coefficient"	"p_value"	"bh"	"Class"	"KEGGid"
"methyl docosahexaenoate"	1.00960244270142	0.114098397607579	0.162139828179191	"Lipid"	""
"methyl palmitate"	0.946593786221375	0.146491129001718	0.206003150158666	"Lipid"	""
"methyl pentadecanoate"	-1.31567689483674	0.15515224283409	0.21593353384126	"Lipid"	""
"sucrose"	-1.13913593713425	0.160310234875295	0.220835527634335	"Carbohydrate"	"C00089"
"D-xylose"	1.06209122182156	0.166998475215528	0.227436469767368	"Carbohydrate"	"C00181"
"delta-tocopherol"	-0.305016677897807	0.168471459086939	0.227436469767368	"Misc"	"C14151"
"methyl stearate"	0.72823244658108	0.21983245261353	0.293835456463629	"Lipid"	""
"methyl icosatrienoate"	0.615293562066072	0.227052451552491	0.300510597643003	"Lipid"	""
"taurine"	-1.80748060029058	0.279447035422298	0.366265531864177	"Misc"	"C00245"
"N-methylalanine"	1.0391758388411	0.287092663284418	0.372668360994197	"Amino acid"	"C02721"
"methyl-beta-D-galactopyranoside"	-0.28520630704544	0.292063530268021	0.375510253201742	"Carbohydrate"	"C03619"
"Stigmasterol"	0.394892335415862	0.303419306238188	0.3864302485109	"Sterol"	"C05442"
"cholesta-3,5-diene"	0.182366200480196	0.326051347713287	0.411373195713026	"Sterol"	""
"methyl tricosanoate"	0.289079241972618	0.334592623657745	0.418240779572182	"Lipid"	""
"phytosphingosine"	-0.194201798520328	0.348355862157637	0.425763670415231	"Lipid"	"C12144"
"hexacosanoic acid"	-0.478057871001716	0.34844868118507	0.425763670415231	"Lipid"	""
"trehalose"	-0.999735320135703	0.350072351230301	0.425763670415231	"Carbohydrate"	"C01083"
"tricosanoic acid"	-0.269319581036353	0.373883384879053	0.447967837479464	"Lipid"	""
"methyl docosanoate"	0.348242190002331	0.3749656713717	0.447967837479464	"Lipid"	""
"pantothenic acid"	-0.431887707554326	0.393420307873774	0.465892469850522	"Misc"	"C00864"
"glyceric acid"	0.216306078316919	0.403759788740125	0.47397888243406	"Misc"	"C00258"
