Protein	A_Hi_GH	B_Hi_GH	C_Hi_GH	A_Lo_GH	B_Lo_GH	C_Lo_GH
NODE_187_length_41794_cov_24.545653_18	27.1382345826669	26.7252125173281	27.3996793817253	26.2605127147739	26.8958516703929	27.3321833449636
NODE_1876737_length_210_cov_0.612903_1	26.7606570133291	26.0097300537634	27.1061946992666	NA	NA	NA
NODE_187728_length_938_cov_2.772367_1	NA	NA	NA	25.3294057503027	24.0824531406292	25.1017339999048
NODE_1880605_length_209_cov_1.805195_1	30.4077071947999	29.6548199383809	29.9453099613829	30.3424438688303	NA	NA
NODE_1884746_length_282_cov_1.691630_1	NA	29.0466382371961	NA	29.9532426121825	30.114955830573	27.0971790780869
NODE_188745_length_260_cov_0.936585_1	NA	NA	NA	28.2219025392617	26.05955257609	27.8441738881689
NODE_1898847_length_281_cov_2.123894_1	22.8624761821545	24.928364033354	23.3136824292581	NA	NA	NA
NODE_19_length_93630_cov_16.507133_74	NA	NA	NA	26.8925068869959	26.6854779875875	27.2900298889458
NODE_1910104_length_280_cov_0.853333_1	29.5092806212016	29.4944978276648	28.5064647943557	NA	NA	29.2366498959256
NODE_1946481_length_277_cov_1.292793_1	NA	NA	NA	27.1743615929214	26.0073578849582	25.0934965498824
NODE_1948_length_16673_cov_4.612408_11	27.0453107353734	26.9532703693959	31.1104512396347	26.9700486492608	28.4472684076082	29.362125660321
NODE_195_length_39948_cov_67.697691_11	27.1300627229633	27.5573504583896	26.8914951779981	NA	25.8593702305144	23.185043575866
NODE_1959136_length_315_cov_1.846154_1	30.3562597608371	29.8152352021791	27.4493954053509	28.6905246069269	NA	NA
NODE_196417_length_352_cov_1.292929_1	NA	NA	NA	26.1853120725435	26.2369554758019	26.0586239950506
NODE_1975501_length_274_cov_1.095890_1	27.0018505498409	26.9227502507327	24.5204930361978	NA	24.9818090430551	NA
NODE_2_length_633876_cov_395.559562_267	26.9140830669205	26.0095663356103	28.2033502155589	25.2808748658331	26.7369470199203	24.8902720711306
NODE_2007100_length_271_cov_1.763889_1	26.4233896054078	24.6089330423172	NA	24.3999237999803	24.9466825061066	24.0902287446707
NODE_202_length_38951_cov_23.099753_19	26.2390426334139	25.7153316459697	24.7399879449357	NA	NA	24.6015779684364
NODE_2021959_length_323_cov_0.694030_1	24.7248575671379	26.8010791332696	25.4078692407442	NA	NA	NA
NODE_2029857_length_306_cov_2.294821_1	25.5548209144519	26.277372969286	25.5232479862599	27.5308119647014	30.0640618726798	26.4007545124456
NODE_2051856_length_304_cov_1.140562_1	26.8790442086063	28.246219783495	28.0499732888072	27.1969492027704	25.3483576539207	25.2551367971717
NODE_2054766_length_267_cov_1.811321_1	25.2978208330237	25.8681122884311	25.1491870546752	NA	NA	NA
NODE_2092701_length_264_cov_2.296651_1	26.265332183717	27.4870013042223	27.1751234121026	NA	NA	NA
NODE_21_length_231770_cov_67.560775_179	27.6667338582689	28.1286914555332	27.2828567834035	26.9716938712898	26.7611898365755	25.5578908838796
NODE_21_length_86002_cov_17.429323_33	NA	NA	NA	27.3462622604622	25.7050111223075	26.7170988175048
NODE_211_length_36337_cov_21.506670_5	26.9502463830622	27.6558100519123	29.5121189946993	27.3917063345639	27.6346311905373	27.4636494936785
NODE_2179863_length_258_cov_0.945813_1	NA	27.3940094928478	28.2878070356952	31.3548158186348	30.406529789715	28.5240256065923
NODE_220_length_34293_cov_52.307728_11	26.7217976701785	27.1357043941451	25.742739863553	NA	25.8448329974083	NA
NODE_220923_length_248_cov_2.606218_1	29.0048264788955	29.414739422554	NA	27.4746003895794	27.2889446247938	26.9297640724774
NODE_222718_length_336_cov_0.889680_1	28.1692087643596	27.446716451474	27.3095598962301	NA	NA	NA
NODE_2230561_length_254_cov_0.964824_1	24.2004520508547	25.7063688041624	25.5863621043452	NA	NA	24.3923766491121
NODE_22532_length_851_cov_2.295226_1	26.9530371922042	26.9904261905509	27.0988712949358	NA	NA	NA
NODE_2256013_length_252_cov_1.512690_1	26.6274232268959	25.9581252086633	26.2807568964281	NA	NA	NA
NODE_2258032_length_252_cov_0.974619_2	NA	NA	NA	29.5518250575181	27.7894251888285	28.0115865984133
NODE_2272611_length_251_cov_1.224490_1	27.6839157616911	27.7225360457687	26.5914931277266	NA	NA	NA
NODE_2278495_length_250_cov_2.461538_1	28.1916883437605	26.5032984631865	28.7007121658508	31.4046147084187	30.2555240289558	28.931314948295
NODE_2296796_length_249_cov_1.659794_1	NA	NA	NA	28.2769294588638	28.245675934637	25.858255951392
NODE_2316025_length_248_cov_0.994819_1	25.6201685803233	26.4179611636001	25.1399687731824	NA	NA	NA
NODE_2334708_length_285_cov_1.669565_1	NA	NA	NA	22.1611257306486	30.959129051573	22.9476726054065
NODE_233680_length_239_cov_0.994565_1	NA	23.1986698455126	NA	26.6970602198332	26.2794113629623	26.9367944978971
NODE_2349092_length_245_cov_2.652632_1	NA	NA	NA	30.6210424643169	29.3290292953789	29.9165565879594
NODE_2382700_length_243_cov_2.042553_1	26.8120092172121	27.3826147923009	25.020939597401	NA	NA	NA
NODE_2386257_length_243_cov_1.414894_1	25.8360044963032	26.6159665529617	25.9567745881929	NA	NA	NA
NODE_2397391_length_242_cov_1.957219_1	28.2414996017196	27.8549554848289	26.6695256755378	NA	NA	NA
NODE_24_length_224501_cov_34.530658_11	26.5120513920389	25.6209273749337	24.1089283052433	NA	NA	NA
NODE_24_length_224501_cov_34.530658_114	28.1419376581443	28.275817338518	26.7986305280753	NA	27.1502820916452	NA
NODE_24_length_224501_cov_34.530658_29	28.808989026651	28.4542925816817	28.0651763445094	25.9396315289174	27.0795888107964	NA
NODE_24_length_224501_cov_34.530658_50	27.0471761122529	27.0346632252693	26.0896177316918	27.0190314105745	26.420784334331	NA
NODE_2403256_length_242_cov_1.074866_1	NA	NA	NA	30.2534966642115	29.4556008927301	29.816212275864
NODE_241_length_28746_cov_36.825590_3	29.019024578973	28.8452442806902	28.6314770871337	NA	NA	NA
NODE_2411494_length_241_cov_2.064516_1	34.5192874954828	34.6429666793158	34.7098510793198	34.9657227135592	34.600508938547	NA
NODE_242_length_28573_cov_16.369556_18	28.1761415554276	28.2511063075092	26.7535338351932	NA	NA	NA
NODE_246086_length_234_cov_0.905028_1	NA	NA	NA	30.4576765160686	28.4818151337166	29.0448679631811
NODE_2466522_length_260_cov_1.404878_1	NA	NA	NA	26.3565746108091	25.6693094037477	27.1377038227288
NODE_254237_length_691_cov_1.176101_1	NA	NA	NA	25.7438614141974	24.9113195668639	26.1231509590405
NODE_255212_length_245_cov_1.010526_1	26.4658221612883	24.2521615537149	24.3661967969609	NA	NA	NA
NODE_255356_length_241_cov_2.064516_1	28.2560191739802	28.7948566199892	25.8767080322493	NA	NA	NA
NODE_25910_length_1502_cov_1.716655_1	30.5378812392822	30.7414974350456	28.3085187402737	NA	27.745862627607	NA
NODE_26_length_78125_cov_16.771538_10	NA	NA	26.67799928585	30.3474346787751	29.5737273090421	28.6163950663907
NODE_26_length_78125_cov_16.771538_13	NA	NA	NA	28.2763285619741	27.0418756912404	28.5548214371113
NODE_2614_length_9376_cov_3.956121_2	28.6176488328619	28.968895876494	28.3173447075936	NA	NA	NA
NODE_261668_length_316_cov_1.103448_1	NA	25.4492589515032	24.4427044873787	25.3962776729055	23.5475772355774	25.8612057281689
NODE_263721_length_239_cov_1.565217_1	24.9119595253856	25.2512587520679	24.778162173429	NA	NA	NA
NODE_2652_length_3742_cov_4.503390_1	29.2922401057847	29.9906425839877	29.4799473925802	NA	28.8225015910297	NA
NODE_2657579_length_226_cov_0.923977_1	NA	NA	NA	25.6681193290308	25.3309447710809	26.6957766994641
NODE_2670112_length_243_cov_1.143617_1	NA	NA	NA	30.4843337152417	30.5721750379481	28.3252164363753
NODE_2671834_length_253_cov_0.969697_1	30.0065038753898	28.3041289557812	29.8420314201077	28.1482174363573	27.2359883446441	29.8408841595748
NODE_269018_length_679_cov_1.200321_1	29.8968622542657	29.7119442916495	27.8996017046023	NA	28.8498951673263	NA
NODE_270_length_24449_cov_38.677585_8	27.3628781199743	27.1862169353633	27.0683597915126	NA	24.4739814063924	NA
NODE_2709186_length_240_cov_1.037838_1	NA	NA	NA	28.5315929557847	28.176503184858	27.5043824639565
NODE_27113_length_756_cov_2.865906_1	25.5259976855336	25.2084016756899	25.4612333715764	NA	NA	NA
NODE_2765994_length_245_cov_1.010526_1	NA	23.2549386383854	NA	29.5720846633409	28.3574474353768	26.1276837732634
NODE_276952_length_424_cov_1.560976_1	NA	NA	NA	29.8581759035391	29.1930758785262	29.3148840592516
NODE_2792538_length_217_cov_1.185185_1	28.3480283380007	NA	NA	28.3846745497121	27.2083443672167	28.2690120745017
NODE_28_length_74638_cov_15.378183_53	NA	NA	NA	27.9914432706094	28.0111981931733	26.9703752621696
NODE_2818113_length_241_cov_0.967742_1	27.9837561984025	27.6185592494126	27.7771840665571	NA	NA	28.8765733850442
NODE_283400_length_826_cov_1.923476_2	NA	NA	NA	31.4634860669158	29.4214365949235	30.7790957721338
NODE_2876286_length_211_cov_3.282051_1	29.8968622542657	29.7119442916495	27.8996017046023	NA	28.8498951673263	NA
NODE_2876360_length_211_cov_2.461538_1	25.5962789461677	26.6184892377638	25.8488570983752	NA	NA	NA
NODE_2876648_length_211_cov_2.448718_1	28.1971499212783	28.430047100822	25.953869794891	NA	NA	NA
NODE_2904353_length_234_cov_1.072626_1	NA	NA	NA	26.7328565861031	22.9501315326712	25.6848254392442
NODE_29164_length_1376_cov_4.970477_1	24.1113184566198	25.3389213204642	23.5884081254736	NA	NA	NA
NODE_2959812_length_220_cov_2.151515_1	30.2275670312356	NA	NA	30.5640185645809	30.5428700718795	30.5871887314334
NODE_2963891_length_207_cov_1.263158_1	NA	28.0044782638655	30.0763542530855	25.0473925467604	26.2847683367881	26.8812377274317
NODE_2999684_length_226_cov_1.631579_1	NA	NA	25.5653194389745	26.7555726202573	26.4397278006582	27.859778978858
NODE_3_length_629679_cov_503.153587_180	27.9601653463913	27.2456306046435	27.2481668934329	NA	27.0656868078895	NA
NODE_3_length_629679_cov_503.153587_84	26.5634004199343	25.1154917168075	25.5973024164638	NA	23.2596869532836	NA
NODE_30_length_73332_cov_16.410333_40	NA	NA	NA	26.0531790480811	25.5792975207059	25.0510160532871
NODE_30127_length_1035_cov_3.306122_2	24.9640441470662	23.6744371203486	24.219890214591	NA	NA	NA
NODE_304690_length_652_cov_1.197655_1	28.7753483269114	28.5878057091385	29.392526096349	28.3882515323666	28.8607973839132	30.8103858539384
NODE_3064788_length_212_cov_1.783439_1	NA	NA	NA	28.3739730266815	26.9895602920834	28.3355605254839
NODE_3085729_length_118_cov_25.968254_1	NA	NA	NA	29.5066161193896	29.9722692560387	28.0842590333501
NODE_3089906_length_219_cov_1.170732_1	25.8085520141748	25.9041004044086	23.8601283964864	NA	NA	NA
NODE_309934_length_220_cov_1.418182_1	24.0213632963882	25.7360782348147	25.438950952043	NA	NA	NA
NODE_31158_length_1444_cov_2.221022_1	28.0062452556187	29.0284286448026	27.6496904114038	28.5806846027831	28.2346837437366	28.5210324622803
NODE_3132_length_10470_cov_5.679405_12	NA	NA	NA	26.8874702848261	25.2219100276366	25.9736136655399
NODE_331268_length_839_cov_2.011480_1	26.9143340319078	25.7998108434195	25.5219610013344	NA	NA	NA
NODE_33481_length_411_cov_1.227528_1	26.6794929855626	27.09385918287	25.8899936839732	27.3000750308319	26.3593590895917	25.6052663162356
NODE_337615_length_630_cov_1.290435_1	26.2769649447154	25.6577731021926	24.5656971268492	NA	NA	NA
NODE_33856_length_868_cov_1.458795_1	27.1854633162742	29.3673429922073	27.7895495644517	NA	NA	NA
NODE_342_length_13143_cov_16.726925_2	NA	NA	25.3380372119428	29.2131899937341	28.9365430108159	28.6741219748696
NODE_346141_length_227_cov_1.116279_1	27.063425529933	27.012332810813	27.1870315350923	NA	NA	NA
NODE_349730_length_285_cov_1.130435_1	25.4025771452507	26.5990846481203	24.8060294900861	NA	NA	26.1168702127256
NODE_35_length_175635_cov_72.874963_115	27.074696642268	26.9323573275182	26.0221891516804	NA	27.6008788555266	NA
NODE_35_length_67532_cov_15.706908_44	NA	NA	NA	28.3765893660386	28.6821968457214	28.0353328255982
NODE_350715_length_620_cov_1.373451_1	28.0321257901071	28.5033591280993	28.7674926435785	NA	NA	NA
NODE_358_length_59054_cov_9.556823_13	NA	NA	NA	24.1941520624989	27.5652201074629	27.8553678801888
NODE_362_length_12530_cov_15.571062_6	NA	NA	26.4636828887183	27.5693159909282	27.2435613936881	27.2098921400567
NODE_366_length_32988_cov_63.537090_2	25.0744203586816	27.2424284907214	26.5702804052887	25.645786606823	25.418459890083	23.407820628872
NODE_366327_length_389_cov_1.038922_2	NA	NA	NA	30.0776407758254	29.3591537920376	28.4958324031305
NODE_3677_length_9021_cov_5.298349_9	26.6475991760232	27.3225113421267	25.9306214899092	23.3120209760523	NA	NA
NODE_37_length_172616_cov_483.367203_54	27.1268360094451	26.4766212882652	25.7047759246	23.0049261065014	24.2590457646569	NA
NODE_3717_length_6643_cov_4.671372_6	NA	NA	NA	30.4825077012234	28.493696489395	29.8322089952597
NODE_37231_length_1132_cov_2.571959_1	NA	26.5930616621484	27.9987339963413	27.8858812213942	27.2459932047185	24.6390381427311
NODE_378946_length_603_cov_1.839416_1	NA	NA	NA	28.4608429369333	26.7729630857354	27.8986218673382
NODE_383034_length_277_cov_1.729730_1	25.0218292215974	26.6948473417468	24.7391295759534	NA	NA	NA
NODE_393508_length_275_cov_1.950000_1	25.4133195740499	25.4951538304547	24.2898944953697	NA	25.4719988736557	NA
NODE_395_length_30142_cov_63.545518_27	23.4294363696176	27.6332536348934	25.1434218300408	NA	25.2217349046962	NA
NODE_4_length_617060_cov_345.550545_115	NA	NA	NA	27.6099926519171	26.1560912566708	26.8240810291033
NODE_40_length_155359_cov_14.257051_66	27.7000675866309	28.28135401737	26.8907765109748	NA	NA	NA
NODE_40_length_155359_cov_14.257051_91	27.9712771068283	28.7901886860111	27.0339275077869	NA	NA	NA
NODE_42_length_62050_cov_15.674877_23	26.8166547946143	NA	NA	27.9347976963174	27.6589822594059	26.2802524684274
NODE_421406_length_767_cov_1.938202_1	22.3811299439374	22.8903741329636	22.4730586285129	NA	NA	NA
NODE_42591_length_1350_cov_2.210811_1	NA	26.4226520230424	22.865952967213	23.709146091528	22.2542755092644	24.4272637319482
NODE_42751_length_968_cov_2.711939_1	NA	NA	NA	27.0074220489396	28.1587031330072	25.4121891503953
NODE_431863_length_265_cov_1.338095_1	NA	NA	NA	28.3739730266815	26.9895602920834	28.3355605254839
NODE_44707_length_687_cov_3.037975_1	30.0910615273687	28.9410613117006	26.915816116319	28.3716902480511	27.1727413902279	27.4132065715346
NODE_458458_length_362_cov_1.563518_1	24.3165163262851	24.1253403127209	25.1102832104996	NA	NA	NA
NODE_459269_length_207_cov_1.138158_1	26.7172498887989	30.3385692119499	31.0222430672958	24.2837621070692	30.1440649545181	NA
NODE_46937_length_888_cov_2.193277_1	25.6778007059794	24.5580661135453	24.7774600100022	26.6294049272866	NA	25.4022572662298
NODE_47_length_142990_cov_39.043264_35	28.0601348697328	28.2165233446242	27.3676415481144	25.4087277805108	NA	NA
NODE_479545_length_556_cov_2.001996_1	24.8271620272759	25.954002966741	25.2395798838764	27.9948018439646	25.7399021310158	24.8438351973906
NODE_48_length_142924_cov_15.577501_98	26.811704286784	27.2466562250461	25.3360119226188	NA	NA	NA
NODE_487654_length_355_cov_1.280000_1	26.7606570133291	26.0097300537634	27.1061946992666	NA	NA	NA
NODE_488812_length_256_cov_1.189055_1	27.379643565766	28.2316007494253	27.9685114141224	27.3847568788724	27.2389970945164	NA
NODE_49383_length_634_cov_2.763385_1	NA	NA	NA	25.6855741550163	24.0175879937048	23.2312967801289
NODE_498373_length_670_cov_3.172358_1	NA	NA	NA	25.4651942087259	26.3396520011717	23.2110250070647
NODE_5_length_528796_cov_554.483134_115	26.6441230821604	27.2966661590756	26.5133491261348	NA	25.2281361018847	NA
NODE_5_length_528796_cov_554.483134_310	27.1144528428346	24.9665413599924	26.7402110372422	NA	NA	NA
NODE_504724_length_713_cov_1.840426_1	28.3619374840703	28.9021921837948	25.6523121685156	NA	NA	NA
NODE_507236_length_711_cov_2.739329_1	24.7308113298502	26.8716178317137	24.9581916000106	23.7925313671823	24.1731037111199	26.7273095467
NODE_512822_length_349_cov_1.571429_2	26.8228662302433	26.4188941243343	26.2140454420723	NA	NA	NA
NODE_52_length_58598_cov_16.124746_45	NA	NA	NA	29.9833763559306	28.8196048394394	29.1279296891413
NODE_528805_length_699_cov_2.231366_1	28.2155829140622	26.4211917809028	25.8557397326034	NA	25.6409970706925	NA
NODE_53_length_133033_cov_15.924378_30	27.4165907548831	27.4229146295578	26.6808693522329	24.8173869413141	NA	NA
NODE_53_length_133033_cov_15.924378_35	28.6717958456888	28.0145095446544	26.1446227825426	24.454063791292	NA	NA
NODE_53070_length_789_cov_3.461853_3	25.7180930560304	27.2201601478179	25.7371576859983	23.6193683375177	25.0268558692722	24.4976226074953
NODE_538265_length_249_cov_0.989691_1	26.0542826967114	27.366901293888	25.7862125851538	NA	NA	NA
NODE_538958_length_527_cov_2.881356_1	NA	NA	NA	28.3750281094567	27.4859271853377	27.8616553649322
NODE_550807_length_643_cov_180.450680_2	29.9692527855519	30.593257609098	30.6536930062381	NA	29.7623848015194	31.1134041116194
NODE_552_length_22274_cov_12.172015_2	NA	25.8503006465422	25.2542538803562	26.8161664903142	26.4493954053509	25.6767790053225
