Protein	A_Hi_GH	B_Hi_GH	C_Hi_GH	A_Lo_GH	B_Lo_GH	C_Lo_GH
NODE_1102058_length_460_cov_1.604938_1	22.4029714560541	22.279137733431	22.9862910094527	28.5455053340027	28.1378503710595	27.6191192203249
NODE_110654_length_1082_cov_1.540409_1	23.8836225165359	25.1145786060864	28.4190468793814	23.0558432685987	23.5216218764546	22.4147639823737
NODE_111_length_69898_cov_49.514268_29	28.8666451977275	29.9767821689892	28.5803216023137	22.047116703614	27.8506702488836	23.2180903628758
NODE_111186_length_404_cov_3.134670_2	27.0831432990906	28.067585597546	27.9958263130442	23.5715026374645	22.3177546200686	23.3990199326266
NODE_1126875_length_260_cov_1.873171_1	22.7631501528142	23.4283391200888	21.9711334199489	27.6416173031112	25.9091690561052	27.6320776461365
NODE_1157523_length_473_cov_3.181818_1	22.5771858902903	27.9440813753019	27.9342148388007	30.460022680089	29.2583575618161	28.0835491204831
NODE_1160415_length_378_cov_2.133127_1	28.1319277482801	27.5386769129155	26.9825055345494	24.8702777907591	22.3277752255226	24.1205827181105
NODE_117765_length_1064_cov_3.125867_1	29.283700298158	29.0903549547715	25.426048184293	22.600001522648	22.0727388011023	22.8163751646686
NODE_1179582_length_256_cov_1.432836_1	22.2027249398263	22.7985265443609	21.7256593051064	26.0639603337696	26.5454685103611	24.7668863418084
NODE_1196675_length_464_cov_2.200489_1	27.7660712223585	28.1586068377835	27.0697891637947	21.9055472998813	24.1119235562982	22.0458767484886
NODE_12_length_417279_cov_36.723393_147	26.8175089296489	27.778813876466	26.1082104869811	23.9140010950774	23.6888052164741	22.659862827155
NODE_12_length_417279_cov_36.723393_192	28.5784872333331	28.5110730821663	25.9814606711752	22.5971682738834	22.0713731112668	22.2556473051885
NODE_12_length_417279_cov_36.723393_223	25.4146104031441	27.2519629858196	23.8826900610737	22.4907991285953	21.4142759047955	23.5722099605258
NODE_12_length_417279_cov_36.723393_34	29.700620125426	30.1477705866037	28.7274280328808	24.5341363738257	27.9831391584799	24.7964034511227
NODE_12_length_417279_cov_36.723393_87	29.0978053124161	28.4225798479926	27.2030502727716	22.9915186756905	25.2741183270355	22.7167370108743
NODE_122_length_66535_cov_24.245412_42	26.617468081848	27.5410428357185	26.3366419390522	22.8341460454911	25.2283563270478	25.0200494242879
NODE_12302_length_734_cov_1.755523_1	22.5550320659627	23.803246248284	23.6934920621348	26.0249385933211	26.9421246476984	25.6420444192704
NODE_124_length_66347_cov_34.362910_16	27.0829403455781	28.5513850437774	28.7558272659275	22.4399082084059	22.6308896303756	23.2581182799526
NODE_1245987_length_359_cov_1.476974_1	27.9507144676343	27.9704875586165	28.3305259780305	22.4746773610902	22.4356826480497	20.7897683631917
NODE_125_length_31678_cov_14.865984_18	26.3828269802725	27.630081801599	26.0504840901134	31.1407276390158	29.6745095199908	29.595671272615
NODE_1253700_length_427_cov_1.387097_1	25.5763477885871	20.7657645263737	22.5403582925718	23.467870188648	24.6107108275102	26.0074434362993
NODE_1262635_length_356_cov_2.355482_1	21.6643523236373	24.2817829072906	21.3174590904021	24.5380700201746	23.7867609772833	25.0244102613219
NODE_127253_length_854_cov_1.819775_1	26.9813517877088	29.1430772853967	26.7038897421789	23.1778485255345	26.4779691881079	22.9004627954958
NODE_1277625_length_359_cov_1.309211_1	31.5904940808165	23.5237793323756	21.9274709311113	29.2386782819795	28.3588814134591	28.9492399876879
NODE_1296652_length_356_cov_1.578073_1	26.8566185340515	26.4087115863754	26.8060028490133	22.880908298602	21.695317663299	22.4390397579761
NODE_130_length_64212_cov_533.077716_22	30.1331914044196	28.3209052095043	27.0304596951304	24.7944005422497	23.9397503205444	24.3758109417999
NODE_1373588_length_345_cov_1.324138_1	29.2804073554361	29.0138240787081	29.1047959643528	23.7095955906842	21.4760241632553	30.3223824015125
NODE_139441_length_521_cov_1.021459_1	26.7957547139785	26.5354915820147	21.8015915724473	24.0446022346241	25.5330571040663	23.0213548236278
NODE_140_length_58729_cov_15.400382_47	27.4226199456883	26.8942332623247	23.9237025097561	21.0201225581331	22.3392749340051	23.0753423037789
NODE_1411020_length_240_cov_1.037838_1	24.2395798838764	27.0583865950898	28.7997429229766	22.9165118843802	27.6286299545922	24.8128905813019
NODE_1421178_length_339_cov_1.338028_1	27.0678932740327	28.2216795982983	25.9638898563821	21.7761252296059	25.6105418771783	21.69100494875
NODE_1430202_length_338_cov_0.918728_1	27.6788216835911	28.4426095815563	29.2269013008821	22.3159373489764	22.0726796880338	22.9867774052731
NODE_1436_length_4410_cov_4.788289_1	22.4843535876558	27.145207471523	27.1634617309695	26.8411616853125	26.7285815471603	25.6300093255
NODE_144_length_58082_cov_15.232978_37	28.2414996017196	27.8549554848289	26.6695256755378	23.3960076569634	23.3484142081919	23.0059363121085
NODE_144294_length_273_cov_0.880734_1	26.4541422544935	25.6339767775114	24.389097199071	23.7325727447777	21.456351877595	23.7334057407337
NODE_144380_length_515_cov_1.917391_1	25.2313993311465	25.5131909742874	23.6680652113932	22.7228564544863	24.040491601697	22.5105696502293
NODE_1450288_length_411_cov_1.980337_1	22.8880787550632	23.7927962286168	23.2965119848443	32.1975351639664	29.3144951518954	31.5422243437261
NODE_145109_length_332_cov_1.574007_1	26.8273558857875	27.7666083683189	27.1770262019338	26.9682916753297	21.0508108131694	25.5323735243136
NODE_146_length_55824_cov_14.301117_41	28.073305329939	28.3485138416001	25.8845893025027	24.5779191378197	24.1982056225025	22.7242229401148
NODE_148_length_26664_cov_17.077831_1	28.0646593936309	28.4374991853217	25.3343589506393	23.1056520951382	20.4096438200746	22.7350430360237
NODE_148109_length_394_cov_1.421829_2	26.3537174552044	25.269208309785	27.4471186118221	25.1284116371481	22.5067735205559	25.819654237731
NODE_15_length_277354_cov_32.907490_192	27.8761927923792	29.7950889392787	28.9426000970275	23.8807827653921	22.7894737514503	22.9135810678566
NODE_15_length_277354_cov_32.907490_228	28.3713994533056	28.1027053263151	27.9959880048394	23.9208074933125	23.0392579669405	22.4738870726459
NODE_154222_length_802_cov_1.835341_1	29.0594404042889	29.8657171851307	28.7726925723541	25.7342191929752	24.8244513901188	25.0955480488818
NODE_1544344_length_231_cov_1.619318_1	21.8610884026018	24.0460142282617	23.5552211832961	33.1208217424182	31.8674702515918	32.5011868727708
NODE_155_length_52976_cov_14.611837_11	31.8947339706381	31.5248602407776	28.8431526040984	26.053952185966	25.0260230562256	25.1005014577955
NODE_155_length_52976_cov_14.611837_4	26.9283583852838	26.7864369525844	24.426048184293	24.0292794731119	21.4964145379332	22.4967424277288
NODE_1581841_length_368_cov_1.840256_1	28.275509308592	27.6751239288232	25.6863224824287	21.916819465694	22.9882612770585	23.9241866889686
NODE_1582938_length_368_cov_1.533546_1	25.7002822263547	24.5468082857287	23.6530123227109	24.2090443154376	21.3660658702174	21.0089802320526
NODE_162_length_47775_cov_39.301760_24	27.1791163762145	27.5181832117542	26.6405834342274	25.4256000926517	28.0444250550575	20.6549414675785
NODE_1635681_length_311_cov_0.882812_1	21.7788853824856	23.1709010735775	22.4891576376208	28.0129188499079	26.2564691584014	28.2518275829468
NODE_1648180_length_358_cov_1.584158_2	25.0339747528966	26.7313488140661	24.8085765625382	23.3025647535148	23.2907656496446	20.6371022279347
NODE_1656697_length_308_cov_1.517787_1	29.7267965353529	30.4270039147331	27.0116932238183	24.243580200384	21.506719845678	21.5017795203536
NODE_1660_length_18978_cov_8.600539_2	21.4216251937885	24.7132954675832	21.7998313517145	25.4326892035996	21.2902461406394	27.5193835821122
NODE_1690_length_18757_cov_16.526040_11	22.8615847781099	24.3950278557531	24.0445524529186	28.4008847768933	27.362338897071	27.6819204899807
