slr	t	score	n	p	p.fdr	pBH	FC
NODE_127253_length_854_cov_1.819775_1	-0.176841426669269	-3.76656279688505	0.00462817419677379	2	0.000533776542452885	0.00143149163657819	0.00143149163657819	-3.13448333333333
NODE_1277625_length_359_cov_1.309211_1	0.179000566669193	2.1619464781875	0.0595750960469445	1	0.0595750960469445	0.072622534437391	0.072622534437391	3.16835333333333
NODE_1296652_length_356_cov_1.578073_1	-0.24696172208778	-5.6395903549023	0.000345836235276528	1	0.000345836235276528	0.00107391252006922	0.00107391252006922	-4.35202
NODE_130_length_64212_cov_533.077716_22	-0.215266755315142	-4.38562713734718	0.00185699055398608	4	8.0567230591843e-07	1.18836665122968e-05	1.18836665122968e-05	-3.74905666666667
NODE_139441_length_521_cov_1.021459_1	-0.0428944391162747	-0.804813337018767	0.442141450348407	1	0.442141450348407	0.467497232447241	0.467497232447241	-0.844606666666667
NODE_140_length_58729_cov_15.400382_47	-0.225128764118126	-3.62913808248228	0.00570875996884368	1	0.00570875996884368	0.00955981896240298	0.00955981896240298	-3.93527333333333
NODE_1411020_length_240_cov_1.037838_1	-0.0852875013330641	-1.5753428980879	0.150418334853457	1	0.150418334853457	0.171989956518488	0.171989956518488	-1.57989333333333
NODE_1430202_length_338_cov_0.918728_1	-0.32799434655357	-7.475281205113	4.2943127824721e-05	1	4.2943127824721e-05	0.000248396523692014	0.000248396523692014	-5.99097666666667
NODE_144_length_58082_cov_15.232978_37	-0.237090074268014	-5.39110901396918	0.000474016225023017	1	0.000474016225023017	0.00131919609794142	0.00131919609794142	-4.33854333333333
NODE_144294_length_273_cov_0.880734_1	-0.144834661694507	-2.78990162401143	0.0215191871918156	1	0.0215191871918156	0.0288552737344801	0.0288552737344801	-2.51829666666667
NODE_144380_length_515_cov_1.917391_1	-0.0989331786635184	-2.2154875903009	0.0546366120662569	1	0.0546366120662569	0.0680075972976615	0.0680075972976615	-1.71291333333333
NODE_1450288_length_411_cov_1.980337_1	0.395478585472109	7.82352327346745	3.01762045839653e-05	1	3.01762045839653e-05	0.000197821785605995	0.000197821785605995	7.69229
NODE_145109_length_332_cov_1.574007_1	-0.154346914412164	-2.1773634994331	0.0581100714125681	1	0.0581100714125681	0.0714269627779483	0.0714269627779483	-2.73984333333333
NODE_146_length_55824_cov_14.301117_41	-0.203739994778271	-4.65652800721442	0.00126698470959462	2	7.65315966052149e-05	0.000381224351056409	0.000381224351056409	-3.61350333333333
NODE_148_length_26664_cov_17.077831_1	-0.293072179933588	-4.80791161741053	0.00102804394828864	1	0.00102804394828864	0.00240692829162817	0.00240692829162817	-5.19539666666666
NODE_148109_length_394_cov_1.421829_2	-0.103801856793182	-2.28797159164866	0.0485847014941351	1	0.0485847014941351	0.0615128194882826	0.0615128194882826	-1.87174
NODE_15_length_277354_cov_32.907490_192	-0.32428522870507	-6.19404628886172	0.0001763356866766	2	3.97499145575608e-06	3.90874159816015e-05	3.90874159816015e-05	-5.78804166666667
NODE_15_length_277354_cov_32.907490_228	-0.282710032394714	-6.35659833588794	0.000145829052532367	2	2.98948195107259e-06	3.23065095735505e-05	3.23065095735505e-05	-4.98664833333333
NODE_154222_length_802_cov_1.835341_1	-0.226896237666988	-4.99975008374953	0.000792640394025398	4	9.60108706223777e-08	1.49069509650534e-06	1.49069509650534e-06	-3.7448025
NODE_1544344_length_231_cov_1.619318_1	0.472673358693789	9.34642088679726	7.36050012946386e-06	1	7.36050012946387e-06	6.57984102482376e-05	6.57984102482376e-05	9.34238666666667
NODE_155_length_52976_cov_14.611837_11	-0.30439555943763	-6.49969960094956	0.000123707811398799	7	8.19459682793294e-15	2.68600673804469e-13	2.68600673804469e-13	-5.02799952380952
NODE_155_length_52976_cov_14.611837_4	-0.192215424883576	-3.75063750406236	0.00474149858068404	1	0.00474149858068404	0.0082278945958929	0.0082278945958929	-3.37280666666667
NODE_1581841_length_368_cov_1.840256_1	-0.236437549035434	-4.22950776870259	0.00232595609671866	1	0.00232595609671866	0.00469970581186305	0.00469970581186305	-4.26922666666666
NODE_1582938_length_368_cov_1.533546_1	-0.146138916225349	-3.17964244906269	0.0115220280806184	1	0.0115220280806184	0.0170803933858414	0.0170803933858414	-2.43867
NODE_162_length_47775_cov_39.301760_24	-0.139467579759769	-2.03235660950543	0.0733905116702492	1	0.0733905116702492	0.0883681671131572	0.0883681671131572	-2.40430333333333
NODE_1635681_length_311_cov_0.882812_1	0.279619168774934	5.55646950747636	0.000383938787375425	1	0.000383938787375425	0.00115573410485459	0.00115573410485459	5.02742333333333
NODE_1648180_length_358_cov_1.584158_2	-0.181580039129034	-3.76102182202468	0.00466727542624939	1	0.00466727542624939	0.00814701923516905	0.00814701923516905	-3.11449
NODE_1656697_length_308_cov_1.517787_1	-0.360406616252853	-6.90317274000792	7.88294420828507e-05	1	7.88294420828507e-05	0.000381224351056409	0.000381224351056409	-6.63780333333333
NODE_1660_length_18978_cov_8.600539_2	0.118083343180887	1.32153774473968	0.219667750025016	1	0.219667750025016	0.246395385009049	0.246395385009049	2.10252
NODE_1690_length_18757_cov_16.526040_11	0.226358415083612	4.7132241472321	0.00117114354121025	2	6.8016049172598e-05	0.000364813354653026	0.000364813354653026	4.02424
NODE_1697405_length_351_cov_0.864865_1	0.563376403911583	10.8733299516672	2.14249716566168e-06	1	2.14249716566168e-06	2.63348609945915e-05	2.63348609945915e-05	10.9302766666667
NODE_1701006_length_221_cov_1.156627_1	-0.277888529927723	-6.38604576612787	0.000140945880192639	1	0.000140945880192639	0.000561878846713901	0.000561878846713901	-5.01193
NODE_170675_length_490_cov_1.839080_1	-0.112810024603075	-2.46964510746424	0.0361744920304534	1	0.0361744920304534	0.0463977180390598	0.0463977180390598	-1.97200333333333
